Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,TEAM,PADP,DADP
6,Donte DiVincenzo,28,SG,62,10,25.9,4,9.6,0.422,2.8,7.1,0.397,1.2,2.5,0.49,0.568,0.8,1,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,,MIN,105.4,105.9
12,Clint Capela,30,C,55,41,21.4,4,7.1,0.559,0,0,0,4,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1,0.9,1.9,8.9,,ATL,106.9,107.7
6,Terry Rozier,30,PG,64,23,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3,3.7,2.6,0.6,0.2,1.2,1.1,10.6,,MIA,107.2,107.3
3,John Collins,27,PF,40,31,30.5,7,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6,8.2,2,1,1,2.6,2.9,19,,UTA,107.5,107.7
2,RJ Barrett,24,SF,58,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,TOR,108.3,108.2
7,Klay Thompson,34,SF,72,72,27.3,5,12.2,0.412,3,7.7,0.391,2,4.5,0.448,0.535,0.9,1,0.905,0.6,2.8,3.4,2,0.7,0.4,1.2,1.1,14,,DAL,108.9,108.2
9,Dereck Lively II,20,C,36,29,23.1,3.7,5.3,0.702,0,0,,3.7,5.3,0.702,0.702,1.3,2,0.63,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,,DAL,109,108.8
3,Jerami Grant,30,PF,47,47,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1,1.4,2.3,14.4,,POR,109.7,109.2
0,Khris Middleton,33,SF,37,21,22.8,4.3,9.1,0.473,1.3,3.6,0.361,3,5.5,0.545,0.5,2,2.3,0.87,0.4,3.3,3.7,4,0.9,0.2,1.5,2,11.9,,WAS,113.6,114.4
5,Aaron Gordon,29,PF,51,42,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,DEN,115.7,115.6
3,Amen Thompson,22,SF,69,42,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2,2.4,14.1,,HOU,115.9,116.4
5,Brandin Podziemski,21,SG,64,33,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5,0.516,0.537,1.1,1.5,0.758,1,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,,GSW,116.1,117
5,Onyeka Okongwu,24,C,74,40,27.9,5.2,9.2,0.567,0.6,2,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,ATL,116.7,115.9
1,Josh Hart,29,SG,77,77,37.6,5.2,10,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,NYK,116.7,116.3
4,Tyus Jones,28,PG,81,58,26.8,3.8,8.4,0.448,2,5,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,,PHO,117.3,117.3
7,Bobby Portis,29,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,MIL,117.9,118
1,Keyonte George,21,PG,67,35,31.5,5.4,13.7,0.391,2.6,7.6,0.343,2.8,6.1,0.449,0.485,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,,UTA,119.2,120.1
2,Cameron Johnson,28,PF,57,57,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,BRK,122,121.3
6,Deni Avdija,24,SF,72,54,30,5.6,11.7,0.476,1.7,4.8,0.365,3.8,7,0.552,0.55,4,5.2,0.78,1.5,5.7,7.3,3.9,1,0.5,2.7,2.4,16.9,,POR,122.4,122.9
13,Trayce Jackson-Davis,24,C,62,37,15.6,2.8,4.9,0.576,0,0,0,2.8,4.8,0.582,0.576,1,1.6,0.578,2,3,5,1.7,0.4,0.6,0.7,1.2,6.6,,GSW,125.5,125.5
8,Buddy Hield,32,SG,82,22,22.7,4,9.6,0.417,2.5,6.7,0.37,1.5,2.9,0.527,0.546,0.6,0.8,0.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1,,GSW,126.8,125.4
3,Jaden Ivey,22,SG,30,30,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4,0.9,0.4,3,2.2,17.6,,DET,129.7,128.3
6,Malik Monk,26,SG,65,45,31.6,6.3,14.4,0.439,2.1,6.6,0.325,4.2,7.9,0.534,0.513,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,,SAC,130.7,130.7
0,Marcus Smart,30,PG,34,7,20,3,7.6,0.395,1.4,4.1,0.341,1.6,3.5,0.457,0.5,1.6,2.1,0.762,0.5,1.6,2.1,3.2,1.2,0.3,1.6,1.6,9,,WAS,130.9,131.2
3,Norman Powell,31,SG,60,60,32.6,7.6,15.8,0.484,3,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,LAC,131.1,129.3
7,Scoot Henderson,20,PG,66,10,26.7,4.3,10.4,0.419,1.6,4.5,0.354,2.8,5.9,0.469,0.496,2.4,3.1,0.767,0.8,2.2,3,5.1,1,0.2,2.7,2.7,12.7,,POR,131.3,131.5
3,P.J. Washington,26,PF,57,56,32.2,5.3,11.7,0.453,1.6,4.2,0.381,3.7,7.5,0.493,0.521,2.5,3.5,0.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,,DAL,133.3,132.9
11,Jaime Jaquez Jr.,23,SF,66,17,20.7,3.2,7,0.461,0.6,1.8,0.311,2.7,5.2,0.513,0.501,1.6,2.2,0.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,,MIA,133.8,134.1
8,Mike Conley,37,PG,71,64,24.7,2.6,6.6,0.4,1.8,4.4,0.41,0.8,2.2,0.38,0.535,1.1,1.3,0.9,0.5,2.1,2.6,4.5,1.1,0.2,1.1,1.6,8.2,,MIN,134.2,134.5
5,Alex Sarr,19,C,67,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13,,WAS,134.3,134
9,Jared McCain,20,SG,23,8,25.7,5.5,11.9,0.46,2.2,5.8,0.383,3.3,6.1,0.532,0.553,2.1,2.4,0.875,0.6,1.9,2.4,2.6,0.7,0,1.6,1.6,15.3,,PHI,136.5,132.5
8,Taylor Hendricks,21,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7,,UTA,136.6,136.6
7,Al Horford,38,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9,,BOS,137.2,136.7
6,Grayson Allen,29,SG,64,7,24.1,3.4,7.6,0.448,2.3,5.5,0.426,1.1,2.2,0.504,0.6,1.5,1.8,0.816,0.5,2.5,3,2.1,0.8,0.3,1.2,1.5,10.6,,PHO,137.8,138.2
5,Rui Hachimura,26,PF,59,57,31.7,5,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5,1.4,0.8,0.4,0.8,1.8,13.1,,LAL,137.9,136.3
11,Dalton Knecht,23,SF,78,16,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,LAL,138,137.2
14,Kevon Looney,28,C,76,6,15,1.9,3.7,0.514,0,0.1,0.4,1.9,3.6,0.516,0.518,0.7,1.3,0.566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2,4.5,,GSW,138.2,137.8
20,Andre Drummond,31,C,40,23,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5,7.8,0.9,1,0.5,1.4,2.4,7.3,,PHI,138.4,137.7
8,Ausar Thompson,22,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4,7,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,,DET,138.4,138.6
0,Ben Simmons,28,PG,51,24,22,2.3,4.4,0.523,0,0,,2.3,4.4,0.523,0.5,0.4,0.7,0.571,0.9,3.8,4.7,5.6,0.8,0.5,2,2.1,5,,LAC,138.5,138.6
9,Moses Moody,22,SG,74,34,22.3,3.3,7.7,0.433,1.7,4.6,0.374,1.6,3.1,0.519,0.544,1.4,1.8,0.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,,GSW,138.7,139
6,Aaron Nesmith,25,SF,45,37,25,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4,1.2,0.8,0.4,0.8,2.5,12,,IND,139.1,139.3
0,Andrew Wiggins,29,SF,60,60,30.7,6.3,14,0.45,2.2,5.8,0.379,4.1,8.2,0.5,0.5,3.3,4.3,0.767,1.5,3,4.5,2.7,1,0.9,1.6,1.7,18,,MIA,139.3,138.1
6,Russell Westbrook,36,PG,75,36,27.9,5,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,,DEN,139.3,139
9,Zaccharie Risacher,19,SF,75,73,24.6,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2,12.6,,ATL,139.4,139.2
6,Jordan Clarkson,32,SG,37,9,26,5.4,13.3,0.408,2.3,6.3,0.362,3.2,7.1,0.448,0.493,3.1,3.9,0.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,UTA,139.4,139.4
22,Bronny James,20,SG,27,1,6.7,0.8,2.5,0.313,0.3,1.2,0.281,0.4,1.3,0.343,0.381,0.4,0.5,0.786,0.1,0.5,0.7,0.8,0.3,0.1,0.5,0.5,2.3,,LAL,139.4,137.4
4,Dillon Brooks,29,SF,75,75,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1,2.7,3.7,1.7,0.8,0.2,1,3.2,14,,HOU,139.5,138.9
0,Dennis Schröder,31,PG,75,49,28.1,4.5,11,0.409,1.7,4.9,0.347,2.8,6.1,0.459,0.5,2.4,2.9,0.828,0.4,2.3,2.6,5.4,0.8,0.2,1.9,2.4,13.1,,DET,139.6,137.8
9,Steven Adams,31,C,58,3,13.7,1.6,2.9,0.545,0,0,0,1.6,2.8,0.552,0.545,0.7,1.6,0.462,2.9,2.8,5.6,1.1,0.4,0.5,0.9,1,3.9,,HOU,139.6,139.8
3,Luguentz Dort,25,SF,71,71,29.2,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,,OKC,139.7,139.6
11,Rob Dillingham,20,PG,49,1,10.5,1.9,4.3,0.441,0.5,1.5,0.338,1.4,2.8,0.496,0.5,0.2,0.3,0.533,0.2,0.8,1,2,0.4,0,1.1,0.8,4.5,,MIN,139.8,139.1
9,Moritz Wagner,27,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,,ORL,140.2,140
12,Reed Sheppard,20,PG,52,3,12.6,1.6,4.6,0.351,0.9,2.7,0.338,0.7,1.9,0.371,0.452,0.3,0.3,0.813,0.3,1.2,1.5,1.4,0.7,0.3,0.7,1,4.4,,HOU,140.6,140.7
4,Tim Hardaway Jr.,32,SG,77,77,28,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11,,DET,140.7,140.8
9,Lonzo Ball,27,PG,35,14,22.2,2.5,6.9,0.366,1.9,5.6,0.344,0.6,1.4,0.458,0.504,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,CHI,140.8,140.5
9,Donovan Clingan,20,C,67,37,19.8,2.7,5,0.539,0.2,0.7,0.286,2.5,4.3,0.582,0.56,0.9,1.6,0.596,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,6.5,,POR,140.8,140.6
7,Obi Toppin,26,PF,79,4,19.6,4,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4,1.6,0.6,0.4,0.9,1.4,10.5,,IND,141,140.8
0,Kelly Olynyk,33,C,44,22,20.3,3.1,6.1,0.508,0.8,1.8,0.444,2.3,4.3,0.535,0.6,1.9,2.5,0.76,1.4,3.3,4.7,2.9,0.8,0.4,1.8,2.8,8.7,,NOP,141,141
9,Tre Mann,23,PG,13,0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2,2.9,3,0.5,0.3,1.9,1.8,14.1,,CHO,141.1,140.2
3,Kentavious Caldwell-Pope,31,SG,77,77,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,,ORL,141.1,141.2
0,Tre Jones,25,PG,46,9,19.7,2.8,5.2,0.549,0.4,1,0.4,2.4,4.1,0.585,0.6,1.2,1.5,0.8,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2,,CHI,141.1,141.2
8,Julian Strawther,22,SG,65,4,21.3,3.2,7.5,0.432,1.4,4.1,0.349,1.8,3.3,0.535,0.529,1.1,1.4,0.822,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9,,DEN,141.2,141.8
0,Dorian Finney-Smith,31,PF,63,40,28.9,3.1,6.9,0.449,2.1,5,0.42,1,1.9,0.526,0.6,0.5,0.7,0.714,1.3,2.7,3.9,1.5,0.9,0.4,0.9,2.2,8.7,,LAL,141.2,142.6
6,Stephon Castle,20,PG,81,47,26.7,5.2,12.2,0.428,1.2,4.1,0.285,4,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2,14.7,,SAS,141.3,140.9
4,Ayo Dosunmu,25,SG,46,26,30.3,4.8,9.8,0.492,1.3,4.1,0.328,3.5,5.7,0.612,0.561,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,,CHI,141.3,141.3
7,Nikola Jović,21,PF,46,10,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,,MIA,141.6,138.8
10,Malcolm Brogdon,32,PG,24,13,23.5,4.3,10,0.433,0.7,2.3,0.286,3.7,7.7,0.478,0.467,3.4,3.8,0.88,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,,WAS,141.6,142
2,Kelly Oubre Jr.,29,SF,60,57,34.6,5.8,12.4,0.47,1.2,4,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3,15.1,,PHI,141.7,140.8
0,Kyle Anderson,31,PF,61,4,16.4,2.3,5,0.469,0.4,1.1,0.364,1.9,3.8,0.5,0.5,0.8,1.1,0.727,0.9,2.5,3.4,2.4,0.7,0.6,0.6,1.3,5.9,,MIA,141.7,141
5,Andrew Nembhard,25,SG,65,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5,1.2,0.2,1.7,2.3,10,,IND,141.7,142
4,Jaden McDaniels,24,PF,82,82,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2,1.3,0.9,1.2,2.7,12.2,,MIN,141.9,141.7
7,Jeremy Sochan,21,PF,54,23,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4,,SAS,142,141.1
5,Wendell Carter Jr.,25,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5,7.2,2,0.8,0.6,1.1,2.9,9.1,,CHO,142,141.3
8,Cam Whitmore,20,SF,51,3,16.2,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3,1,0.6,0.3,0.9,0.9,9.4,,HOU,142,141.7
4,Shaedon Sharpe,21,SG,72,52,31.3,6.9,15.3,0.452,2,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,,POR,142.1,142.1
9,Mitchell Robinson,26,C,17,3,17.1,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,,NYK,142.1,142.2
4,Grant Williams,26,PF,16,7,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,10.4,,CHO,142.2,142.3
10,De'Anthony Melton,26,SG,6,2,20.2,3.7,9,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1,2.3,3.3,2.8,1.2,0.3,1.7,3,10.3,,GSW,142.2,142.3
6,Payton Pritchard,27,PG,80,3,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1,1.5,14.3,,BOS,142.4,136.9
0,Zach Collins,27,PF,64,12,15.3,2.4,4.8,0.5,0.5,1.7,0.294,1.9,3.1,0.613,0.5,1.1,1.2,0.917,1.6,2.9,4.5,1.7,0.4,0.4,0.9,2,6.3,,CHI,142.4,141.9
5,Harrison Barnes,32,PF,82,82,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,,SAS,142.5,142.4
12,Simone Fontecchio,29,SF,75,0,16.5,2,5,0.402,1,3,0.335,1,1.9,0.507,0.504,0.9,1.1,0.833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9,,DET,143,143.2
9,Duncan Robinson,30,SF,74,37,24.1,3.9,9,0.437,2.6,6.5,0.393,1.4,2.4,0.556,0.581,0.6,0.7,0.887,0.2,2,2.3,2.4,0.5,0.1,1.2,1.8,11,,MIA,143.2,142.7
8,Keldon Johnson,25,SF,77,0,23.9,4.8,10,0.482,1.1,3.6,0.318,3.7,6.4,0.573,0.538,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1,1.5,12.7,,SAS,143.2,143.3
0,Marvin Bagley III,25,PF,31,2,8.5,1.8,3.4,0.529,0.1,0.6,0.167,1.7,2.8,0.607,0.5,0.8,1.1,0.727,1.2,1.5,2.7,0.4,0.3,0.3,0.4,0.6,4.4,,MEM,143.2,143.5
4,Bennedict Mathurin,22,SF,72,49,29.8,5.4,11.8,0.458,1.4,4,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,IND,143.3,141.7
0,Caleb Martin,29,SF,45,24,27,2.9,6.8,0.426,0.9,2.3,0.391,2,4.5,0.444,0.5,1.4,2.2,0.636,1.2,2.8,3.9,2.1,1,0.5,1.2,1.9,7.9,,DAL,143.3,143.2
10,Kel'el Ware,20,C,64,36,22.2,4,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,,MIA,143.4,142.5
3,Christian Braun,23,SG,79,77,33.9,6,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1,2.2,15.4,,DEN,143.5,132.9
4,Gradey Dick,21,SG,54,54,29.4,4.9,12,0.41,2.1,6,0.35,2.8,5.9,0.47,0.498,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,,TOR,143.5,140.1
5,Malik Beasley,28,SG,82,18,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2,2.6,1.7,0.9,0.1,1,1.5,16.3,,DET,143.8,141
3,Dyson Daniels,21,SG,76,76,33.8,6,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3,0.7,2,2.3,14.1,,ATL,144,136.2
6,Gary Trent Jr.,26,SG,74,9,25.6,3.8,8.9,0.431,2.4,5.9,0.416,1.4,3,0.46,0.568,1.1,1.2,0.848,0.3,2,2.3,1.2,1,0.1,0.6,1.7,11.1,,MIL,144,144.2
9,T.J. McConnell,32,PG,79,1,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1,9.1,,IND,144,144.3
8,Sam Hauser,27,PF,71,19,21.7,3,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,BOS,144.1,144.1
7,Tari Eason,23,PF,57,16,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12,,HOU,144.2,142.5
14,Noah Clowney,20,PF,46,20,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3,3.9,0.9,0.5,0.5,1,2.3,9.1,,BRK,144.2,144.1
11,Jonathan Isaac,27,PF,71,1,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1,1.5,0.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4,,ORL,144.4,144.4
0,Kevin Porter Jr.,24,SG,75,4,19.7,3.9,8.7,0.46,0.8,2.4,0.333,3.2,6.3,0.508,0.5,1.7,2.3,0.739,0.5,3.1,3.7,3.4,1.1,0.2,1.8,1.6,10.3,,MIL,144.5,144.5
11,Matas Buzelis,20,SF,80,31,18.9,3.2,6.9,0.454,1.2,3.3,0.361,2,3.6,0.54,0.541,1.1,1.4,0.815,0.7,2.8,3.5,1,0.4,0.9,0.9,1.6,8.6,,CHI,144.6,144.4
7,Precious Achiuwa,25,C,57,10,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,1,0.8,0.7,0.8,1.4,6.6,,NYK,144.7,144.7
0,Terance Mann,28,SG,67,13,21.1,3.1,6.2,0.492,0.9,2.4,0.375,2.1,3.7,0.568,0.6,0.7,1,0.7,1,2,3,1.8,0.7,0.2,0.7,1.9,7.7,,ATL,144.7,144.7
1,Bilal Coulibaly,20,SF,59,59,33,4.5,10.6,0.421,1.1,3.8,0.281,3.4,6.8,0.5,0.472,2.3,3.1,0.746,1.5,3.4,5,3.4,1.3,0.7,2.1,2.4,12.3,,WAS,144.8,138.5
10,Isaiah Stewart,23,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6,,DET,144.8,144.5
0,Caris LeVert,30,SG,64,3,24.9,4.4,9.3,0.473,1.7,4.4,0.386,2.7,4.9,0.551,0.6,1.7,2.4,0.708,0.6,2.5,3.2,3.4,0.9,0.5,1.2,1.6,12.1,,ATL,145,145
